object	relation	subject_external_db	subject_external_id	subject_name	comment
gamma main Kenyon cell	is_a	neuprint_JRC	5812981154	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812979176	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	1068613231	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	1143332046	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	446826981	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812982205	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	571424636	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
adult uniglomerular antennal lobe projection neuron	is_a	neuprint_JRC	632751823	VC5 lvPN(olfactory PN)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	446533552	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	672429275	(MBDLaxon1)	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	944807006	(PLBDL10)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5813075855	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	570997147	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
adult antennal lobe projection neuron DA2 lPN	is_a	neuprint_JRC	818983130	DA2 lPN(olfactory PN)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
dopaminergic PAM neuron 9	is_a	neuprint_JRC	644896959	PAM09(B1ped)_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	570643193	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	693500652	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5813021332	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	1225273264	FB3C^FB03c_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5813027460	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5813087798	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5901198074	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812980579	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	1202737975	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812981990	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812982505	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	632069851	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812982220	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	631400190	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	509700197	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	784204967	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5813033012	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812982602	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	632397510	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	692810011	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	631422121	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	570643135	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812982832	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	1967866061	(lVLPT4)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	661740651	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	1142019737	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	981362334	FB2G_a^FB02n_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
adult uniglomerular antennal lobe projection neuron adPN	is_a	neuprint_JRC	1851393805	VM7d adPN(olfactory PN)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812981432	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	663091787	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	756196285	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma dorsal Kenyon cell	is_a	neuprint_JRC	1224137495	KCg-d	Typing based on mapping assertion in neuprint hemibrain v1.0.1
adult uniglomerular antennal lobe projection neuron	is_a	neuprint_JRC	662776660	VC3m lvPN(olfactory PN)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	632808044	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
lobula columnar neuron	is_a	neuprint_JRC	1562712175	LC28a(lVLPT3)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
dopaminergic PAM neuron 13	is_a	neuprint_JRC	675468771	PAM13(B'1ap)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	1173745220	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	973488234	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	601712754	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	1659866988	(lVLPT3)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
lobula columnar neuron	is_a	neuprint_JRC	1690910458	LC28b	Typing based on mapping assertion in neuprint hemibrain v1.0.1
adult uniglomerular antennal lobe projection neuron	is_a	neuprint_JRC	5812995098	VC5 lvPN(olfactory PN)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	661408056	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	1141631198	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
adult antennal lobe projection neuron VM5v adPN	is_a	neuprint_JRC	5813034571	VM5v adPN(olfactory PN)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812982578	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	661757811	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
lobula columnar neuron	is_a	neuprint_JRC	1968215498	LC28b	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	631422224	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5813054085	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	816276055	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	1164113870	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	571778381	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	508935964	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	754547386	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	661766416	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812981616	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
adult antennal lobe projection neuron VA6 adPN	is_a	neuprint_JRC	1881751117	VA6 adPN(olfactory PN)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812983658	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812979128	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
lobula columnar neuron	is_a	neuprint_JRC	5812999543	LC28b(lVLPT4)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
lobula columnar neuron	is_a	neuprint_JRC	666847851	(PLBDL8)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	673746277	FB4N^FB04z_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	661421129	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812981924	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
adult multiglomerular antennal lobe projection neuron	is_a	neuprint_JRC	1943812176	VP1m + VP2 lvPN(olfactory PN)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
dopaminergic PAM neuron 1	is_a	neuprint_JRC	674519060	PAM01_a(y5)_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5813077610	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	570643109	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	1173391076	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	662085486	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
dopaminergic PPL1 neuron 2	is_a	neuprint_JRC	5812981381	PPL102(y1)(PDL05)_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5813056309	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	662418320	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	570742599	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	631051057	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	571424650	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5813021659	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
lobula columnar neuron	is_a	neuprint_JRC	1685147024	LC28b(lVLPT4)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
adult uniglomerular antennal lobe projection neuron adPN	is_a	neuprint_JRC	5813050727	VM7d adPN(olfactory PN)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
octopaminergic VPM4 neuron	is_a	neuprint_JRC	767473384	OA-VPM4	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5813062617	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	602459213	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	663134970	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	789308735	FB2I_b^FB02s_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812981153	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5813053885	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
adult uniglomerular antennal lobe projection neuron	is_a	neuprint_JRC	663432544	VP3 vPN(olfactory PN)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
adult antennal lobe projection neuron VA7m lPN	is_a	neuprint_JRC	1882083076	VA7m lPN(olfactory PN)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5813032967	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812982766	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	705463539	FB5F^FB05f_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	1161731111	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	662081640	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
lobula columnar neuron	is_a	neuprint_JRC	1628869271	LC28b	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	508616471	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	662107551	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	1255297788	FB2B_a^FB02b_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
lobula columnar neuron	is_a	neuprint_JRC	1501640127	LC28b	Typing based on mapping assertion in neuprint hemibrain v1.0.1
lobula columnar neuron	is_a	neuprint_JRC	788565050	LC28b	Typing based on mapping assertion in neuprint hemibrain v1.0.1
lobula columnar neuron	is_a	neuprint_JRC	2032664066	LC28b	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	571424323	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	724531411	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
dopaminergic PAM neuron 5	is_a	neuprint_JRC	798585556	PAM05_b(B'2p)_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	1111278454	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
adult antennal lobe projection neuron DA2 lPN	is_a	neuprint_JRC	1796818119	DA2 lPN(olfactory PN)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	5813078563	FB2H_a^FB02t_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5813067817	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
PB-FB-NO3 posterior domain neuron	is_a	neuprint_JRC	1410450694	PFNp_b(PB01b)_R4_C7	Typing based on mapping assertion in neuprint hemibrain v1.0.1
mushroom body output neuron	is_a	neuprint_JRC	894020730	MBON31(a'1a)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812982252	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
adult antennal lobe projection neuron VM5d adPN	is_a	neuprint_JRC	5813024712	VM5d adPN(olfactory PN)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	1035557785	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	1173072129	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812980386	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812981148	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma dorsal Kenyon cell	is_a	neuprint_JRC	663130304	KCg-d	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	1068954342	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5813033065	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	664141134	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	570742527	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	1067923228	(lVLPT8)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	1255979929	FB2J^FB02r_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma dorsal Kenyon cell	is_a	neuprint_JRC	1203774485	KCg-d	Typing based on mapping assertion in neuprint hemibrain v1.0.1
lobula columnar neuron	is_a	neuprint_JRC	2276540626	LC28b	Typing based on mapping assertion in neuprint hemibrain v1.0.1
lobula columnar neuron	is_a	neuprint_JRC	5901200775	LC28b(lVLPT3)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	570336487	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812981441	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	570742510	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	757530901	(lVLPT3)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
adult uniglomerular antennal lobe projection neuron adPN	is_a	neuprint_JRC	693125078	VC3l adPN(olfactory PN)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	1141977014	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
adult multiglomerular antennal lobe projection neuron	is_a	neuprint_JRC	1975187675	VP1m + VP2 lvPN(olfactory PN)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	661399477	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	662107593	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	570643102	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5813055924	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	663834152	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812982420	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
lobula columnar neuron	is_a	neuprint_JRC	1720226812	LC28b	Typing based on mapping assertion in neuprint hemibrain v1.0.1
dopaminergic PAM neuron 6	is_a	neuprint_JRC	5812982120	PAM06(B'2m)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
lobula columnar neuron	is_a	neuprint_JRC	2031279383	LC28b(lVLPT4)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	816276925	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	670651346	FB2F_a^FB02k_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812983043	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
PB-FB-NO3 posterior domain neuron	is_a	neuprint_JRC	1441485832	PFNp_c(PB01c)_R4_C7	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	662767770	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812981703	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
lobula columnar neuron	is_a	neuprint_JRC	5813075754	LC28b(lVLPT3)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	729824475	FB2E^FB02f_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5813032782	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
adult antennal lobe projection neuron VA2 adPN	is_a	neuprint_JRC	1977579449	VA2 adPN(olfactory PN)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
adult antennal lobe projection neuron VA2 adPN	is_a	neuprint_JRC	703857506	(MBDLaxon2)	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	1203420037	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	1141631240	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
dopaminergic PAM neuron 13	is_a	neuprint_JRC	706819341	PAM13(B'1ap)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5813021296	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
adult uniglomerular antennal lobe projection neuron	is_a	neuprint_JRC	1442819296	VC3m lvPN(olfactory PN)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	661430106	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	667931999	FB2I_a^FB02q_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	1174384118	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	5813038173	FB2I_a^FB02p_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
dopaminergic PAM neuron 9	is_a	neuprint_JRC	1048004460	PAM09(B1ped)_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
lobula columnar neuron	is_a	neuprint_JRC	1722311484	LC28b	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	724142845	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
lobula columnar neuron	is_a	neuprint_JRC	1441590157	LC28b(lVLPT4)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
adult uniglomerular antennal lobe projection neuron adPN	is_a	neuprint_JRC	1975878958	VP2 adPN(olfactory PN)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5813095915	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	662763626	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	662081902	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	696863848	(lVLPT3)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
adult antennal lobe projection neuron DL5 adPN	is_a	neuprint_JRC	693483018	DL5 adPN(olfactory PN)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5813083990	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812979177	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5813032541	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	5813013525	FB9C_b^FB09h_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812981227	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	1224595644	FB2I_a^FB02q_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	1297202769	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	722471778	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	762226975	FB2F_c^FB02j_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	632048075	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	600356751	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
dopaminergic PAM neuron 8	is_a	neuprint_JRC	1172031461	PAM08_c(y4)_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5812980992	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	973146958	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	704367157	(dMS6)(MBDLaxon1)	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	705118017	FB5X^FB04Bc_R	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	602118253	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
fan-shaped neuron	is_a	neuprint_JRC	640804169	FB2F_a^FB02m_L	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	1174008477	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	5813053821	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
gamma main Kenyon cell	is_a	neuprint_JRC	1003474283	KCg-m	Typing based on mapping assertion in neuprint hemibrain v1.0.1
